4 4 16 27
0 1 1 2 1 1 1 2 1 2 1 2 1 2 1 2 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 1 1 1 2 1 2 1 2 1 2 1 2 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 	0	1	2 0 0 0 	1 0 1 2 
1 1 1 2 1 4 0 5 0 2 1 2 1 5 0 5 0 3 1 3 1 6 0 6 0 3 1 3 1 6 0 6 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 4 0 5 0 4 0 5 0 5 0 5 0 5 0 5 0 6 0 6 0 6 0 6 0 6 0 6 0 6 0 6 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 	0	2	1 2 0 0 	0 0 1 2 
2 2 1 7 1 5 0 8 0 7 1 7 1 8 0 8 0 3 1 9 1 6 0 10 0 9 1 9 1 10 0 10 0 0 0 11 0 1 0 2 0 11 0 11 0 2 0 2 0 0 0 11 0 1 0 2 0 11 0 11 0 2 0 2 0 5 0 8 0 5 0 8 0 8 0 8 0 8 0 8 0 6 0 10 0 6 0 10 0 10 0 10 0 10 0 10 0 1 0 2 0 1 0 2 0 2 0 2 0 2 0 2 0 1 0 2 0 1 0 2 0 2 0 2 0 2 0 2 0 	0	2	1 2 0 0 	0 0 1 1 
3 3 1 9 1 6 0 10 0 9 1 9 1 10 0 10 0 12 0 12 0 13 0 13 0 12 0 12 0 13 0 13 0 0 0 11 0 1 0 2 0 11 0 11 0 2 0 2 0 14 0 14 0 3 0 3 0 14 0 14 0 3 0 3 0 6 0 10 0 6 0 10 0 10 0 10 0 10 0 10 0 13 0 13 0 13 0 13 0 13 0 13 0 13 0 13 0 1 0 2 0 1 0 2 0 2 0 2 0 2 0 2 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 	0	3	1 2 3 0 	0 0 0 1 
4 4 1 5 1 4 0 4 0 5 1 5 1 4 0 4 0 6 1 6 1 4 0 4 0 6 1 6 1 4 0 4 0 1 1 1 1 4 0 4 0 1 1 1 1 4 0 4 0 1 1 1 1 4 0 4 0 1 1 1 1 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 	0	1	1 0 0 0 	0 1 2 3 
5 5 1 8 1 4 0 5 0 8 1 8 1 5 0 5 0 6 1 10 1 4 0 5 0 10 1 10 1 5 0 5 0 1 1 2 1 4 0 5 0 2 1 2 1 5 0 5 0 1 1 2 1 4 0 5 0 2 1 2 1 5 0 5 0 4 0 5 0 4 0 5 0 5 0 5 0 5 0 5 0 4 0 5 0 4 0 5 0 5 0 5 0 5 0 5 0 4 0 5 0 4 0 5 0 5 0 5 0 5 0 5 0 4 0 5 0 4 0 5 0 5 0 5 0 5 0 5 0 	0	1	1 0 0 0 	0 1 2 2 
6 6 1 10 1 4 0 5 0 10 1 10 1 5 0 5 0 13 1 13 1 6 0 6 0 13 1 13 1 6 0 6 0 1 1 2 1 4 0 5 0 2 1 2 1 5 0 5 0 3 1 3 1 6 0 6 0 3 1 3 1 6 0 6 0 4 0 5 0 4 0 5 0 5 0 5 0 5 0 5 0 6 0 6 0 6 0 6 0 6 0 6 0 6 0 6 0 4 0 5 0 4 0 5 0 5 0 5 0 5 0 5 0 6 0 6 0 6 0 6 0 6 0 6 0 6 0 6 0 	0	1	1 0 0 0 	0 1 1 2 
7 9 1 15 0 10 0 16 0 15 0 15 0 16 0 16 0 9 1 15 0 10 0 16 0 15 0 15 0 16 0 16 0 11 0 17 0 2 0 7 0 17 0 17 0 7 0 7 0 11 0 17 0 2 0 7 0 17 0 17 0 7 0 7 0 10 0 16 0 10 0 16 0 16 0 16 0 16 0 16 0 10 0 16 0 10 0 16 0 16 0 16 0 16 0 16 0 2 0 7 0 2 0 7 0 7 0 7 0 7 0 7 0 2 0 7 0 2 0 7 0 7 0 7 0 7 0 7 0 	0	3	1 2 4 0 	0 0 1 0 
8 10 1 16 1 5 0 8 0 16 1 16 1 8 0 8 0 10 1 16 1 5 0 8 0 16 1 16 1 8 0 8 0 2 1 7 1 5 0 8 0 7 1 7 1 8 0 8 0 2 1 7 1 5 0 8 0 7 1 7 1 8 0 8 0 5 0 8 0 5 0 8 0 8 0 8 0 8 0 8 0 5 0 8 0 5 0 8 0 8 0 8 0 8 0 8 0 5 0 8 0 5 0 8 0 8 0 8 0 8 0 8 0 5 0 8 0 5 0 8 0 8 0 8 0 8 0 8 0 	0	1	1 0 0 0 	0 1 2 1 
9 9 1 15 0 10 0 16 0 15 0 15 0 16 0 16 0 12 0 18 0 13 0 19 0 18 0 18 0 19 0 19 0 11 0 17 0 2 0 7 0 17 0 17 0 7 0 7 0 14 0 20 0 3 0 9 0 20 0 20 0 9 0 9 0 10 0 16 0 10 0 16 0 16 0 16 0 16 0 16 0 13 0 19 0 13 0 19 0 19 0 19 0 19 0 19 0 2 0 7 0 2 0 7 0 7 0 7 0 7 0 7 0 3 0 9 0 3 0 9 0 9 0 9 0 9 0 9 0 	0	4	1 2 3 4 	0 0 0 0 
