2 5 32 51
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 	88	0	0 0 0 0 0 	88 88 88 88 88 
1 2 3 2 3 3 3 3 3 4 4 4 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 2 3 3 3 3 3 4 4 4 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 2 3 3 3 3 3 4 4 4 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 2 3 3 3 3 3 4 4 4 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 	0	5	1 2 3 4 5 	2 1 0 1 2 
2 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 	1	4	1 2 3 4 0 	2 1 1 2 88 
3 5 10 5 10 10 10 10 10 6 11 6 11 11 11 11 11 7 12 7 12 12 12 12 12 7 12 7 12 12 12 12 12 8 13 8 13 13 13 13 13 9 14 9 14 14 14 14 14 2 3 2 3 3 3 3 3 2 3 2 3 3 3 3 3 5 10 5 10 10 10 10 10 6 11 6 11 11 11 11 11 7 12 7 12 12 12 12 12 7 12 7 12 12 12 12 12 8 13 8 13 13 13 13 13 9 14 9 14 14 14 14 14 2 3 2 3 3 3 3 3 2 3 2 3 3 3 3 3 	1	5	1 2 3 4 5 	2 1 1 2 2 
4 6 11 6 11 11 11 11 11 15 15 15 15 15 15 15 15 7 12 7 12 12 12 12 12 16 16 16 16 16 16 16 16 9 14 9 14 14 14 14 14 17 17 17 17 17 17 17 17 2 3 2 3 3 3 3 3 4 4 4 4 4 4 4 4 6 11 6 11 11 11 11 11 15 15 15 15 15 15 15 15 7 12 7 12 12 12 12 12 16 16 16 16 16 16 16 16 9 14 9 14 14 14 14 14 17 17 17 17 17 17 17 17 2 3 2 3 3 3 3 3 4 4 4 4 4 4 4 4 	1	5	1 2 3 4 5 	2 1 1 1 2 
5 0 0 18 18 0 0 18 18 0 0 18 18 0 0 18 18 19 19 20 20 19 19 20 20 19 19 20 20 19 19 20 20 21 21 22 22 21 21 22 22 21 21 22 22 21 21 22 22 23 23 5 5 23 23 5 5 23 23 5 5 23 23 5 5 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 	2	3	1 2 3 0 0 	2 2 2 88 88 
6 0 0 18 18 0 0 18 18 24 24 25 25 24 24 25 25 19 19 20 20 19 19 20 20 26 26 27 27 26 26 27 27 21 21 22 22 21 21 22 22 28 28 29 29 28 28 29 29 23 23 5 5 23 23 5 5 30 30 6 6 30 30 6 6 18 18 18 18 18 18 18 18 25 25 25 25 25 25 25 25 20 20 20 20 20 20 20 20 27 27 27 27 27 27 27 27 22 22 22 22 22 22 22 22 29 29 29 29 29 29 29 29 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 	2	4	1 2 3 4 0 	2 2 2 2 88 
7 23 23 5 5 23 23 5 5 30 30 6 6 30 30 6 6 31 31 7 7 31 31 7 7 31 31 7 7 31 31 7 7 23 23 5 5 23 23 5 5 30 30 6 6 30 30 6 6 31 31 7 7 31 31 7 7 31 31 7 7 31 31 7 7 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 	1	4	1 2 3 4 0 	2 2 1 2 88 
8 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 	1	3	1 2 3 0 0 	2 1 2 88 88 
9 22 22 22 22 22 22 22 22 29 29 29 29 29 29 29 29 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 22 22 22 22 22 22 22 22 29 29 29 29 29 29 29 29 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 	1	4	1 2 3 4 0 	2 1 2 2 88 
10 0 32 18 33 32 32 33 33 0 32 18 33 32 32 33 33 19 34 20 35 34 34 35 35 19 34 20 35 34 34 35 35 21 36 22 37 36 36 37 37 21 36 22 37 36 36 37 37 23 38 5 10 38 38 10 10 23 38 5 10 38 38 10 10 18 33 18 33 33 33 33 33 18 33 18 33 33 33 33 33 20 35 20 35 35 35 35 35 20 35 20 35 35 35 35 35 22 37 22 37 37 37 37 37 22 37 22 37 37 37 37 37 5 10 5 10 10 10 10 10 5 10 5 10 10 10 10 10 	2	4	1 2 3 5 0 	2 2 2 88 2 
11 0 32 18 33 32 32 33 33 24 39 25 40 39 39 40 40 19 34 20 35 34 34 35 35 26 41 27 42 41 41 42 42 21 36 22 37 36 36 37 37 28 43 29 44 43 43 44 44 23 38 5 10 38 38 10 10 30 45 6 11 45 45 11 11 18 33 18 33 33 33 33 33 25 40 25 40 40 40 40 40 20 35 20 35 35 35 35 35 27 42 27 42 42 42 42 42 22 37 22 37 37 37 37 37 29 44 29 44 44 44 44 44 5 10 5 10 10 10 10 10 6 11 6 11 11 11 11 11 	2	5	1 2 3 4 5 	2 2 2 2 2 
12 23 38 5 10 38 38 10 10 30 45 6 11 45 45 11 11 31 46 7 12 46 46 12 12 31 46 7 12 46 46 12 12 23 38 5 10 38 38 10 10 30 45 6 11 45 45 11 11 31 46 7 12 46 46 12 12 31 46 7 12 46 46 12 12 5 10 5 10 10 10 10 10 6 11 6 11 11 11 11 11 7 12 7 12 12 12 12 12 7 12 7 12 12 12 12 12 5 10 5 10 10 10 10 10 6 11 6 11 11 11 11 11 7 12 7 12 12 12 12 12 7 12 7 12 12 12 12 12 	1	5	1 2 3 4 5 	2 2 1 2 2 
13 22 37 22 37 37 37 37 37 22 37 22 37 37 37 37 37 5 10 5 10 10 10 10 10 5 10 5 10 10 10 10 10 8 13 8 13 13 13 13 13 8 13 8 13 13 13 13 13 8 13 8 13 13 13 13 13 8 13 8 13 13 13 13 13 22 37 22 37 37 37 37 37 22 37 22 37 37 37 37 37 5 10 5 10 10 10 10 10 5 10 5 10 10 10 10 10 8 13 8 13 13 13 13 13 8 13 8 13 13 13 13 13 8 13 8 13 13 13 13 13 8 13 8 13 13 13 13 13 	1	4	1 2 3 5 0 	2 1 2 88 2 
14 22 37 22 37 37 37 37 37 29 44 29 44 44 44 44 44 5 10 5 10 10 10 10 10 6 11 6 11 11 11 11 11 8 13 8 13 13 13 13 13 9 14 9 14 14 14 14 14 8 13 8 13 13 13 13 13 9 14 9 14 14 14 14 14 22 37 22 37 37 37 37 37 29 44 29 44 44 44 44 44 5 10 5 10 10 10 10 10 6 11 6 11 11 11 11 11 8 13 8 13 13 13 13 13 9 14 9 14 14 14 14 14 8 13 8 13 13 13 13 13 9 14 9 14 14 14 14 14 	1	5	1 2 3 4 5 	2 1 2 2 2 
15 26 41 27 42 41 41 42 42 47 47 48 48 47 47 48 48 26 41 27 42 41 41 42 42 47 47 48 48 47 47 48 48 30 45 6 11 45 45 11 11 49 49 15 15 49 49 15 15 30 45 6 11 45 45 11 11 49 49 15 15 49 49 15 15 27 42 27 42 42 42 42 42 48 48 48 48 48 48 48 48 27 42 27 42 42 42 42 42 48 48 48 48 48 48 48 48 6 11 6 11 11 11 11 11 15 15 15 15 15 15 15 15 6 11 6 11 11 11 11 11 15 15 15 15 15 15 15 15 	1	5	1 2 3 4 5 	2 2 2 1 2 
16 30 45 6 11 45 45 11 11 49 49 15 15 49 49 15 15 31 46 7 12 46 46 12 12 50 50 16 16 50 50 16 16 30 45 6 11 45 45 11 11 49 49 15 15 49 49 15 15 31 46 7 12 46 46 12 12 50 50 16 16 50 50 16 16 6 11 6 11 11 11 11 11 15 15 15 15 15 15 15 15 7 12 7 12 12 12 12 12 16 16 16 16 16 16 16 16 6 11 6 11 11 11 11 11 15 15 15 15 15 15 15 15 7 12 7 12 12 12 12 12 16 16 16 16 16 16 16 16 	1	5	1 2 3 4 5 	2 2 1 1 2 
17 6 11 6 11 11 11 11 11 15 15 15 15 15 15 15 15 6 11 6 11 11 11 11 11 15 15 15 15 15 15 15 15 9 14 9 14 14 14 14 14 17 17 17 17 17 17 17 17 9 14 9 14 14 14 14 14 17 17 17 17 17 17 17 17 6 11 6 11 11 11 11 11 15 15 15 15 15 15 15 15 6 11 6 11 11 11 11 11 15 15 15 15 15 15 15 15 9 14 9 14 14 14 14 14 17 17 17 17 17 17 17 17 9 14 9 14 14 14 14 14 17 17 17 17 17 17 17 17 	1	5	1 2 3 4 5 	2 1 2 1 2 
18 0 0 18 18 0 0 18 18 0 0 18 18 0 0 18 18 0 0 18 18 0 0 18 18 0 0 18 18 0 0 18 18 0 0 18 18 0 0 18 18 0 0 18 18 0 0 18 18 0 0 18 18 0 0 18 18 0 0 18 18 0 0 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 	2	1	1 0 0 0 0 	2 88 88 88 88 
19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 	2	1	3 0 0 0 0 	88 88 2 88 88 
20 0 0 18 18 0 0 18 18 0 0 18 18 0 0 18 18 19 19 20 20 19 19 20 20 19 19 20 20 19 19 20 20 0 0 18 18 0 0 18 18 0 0 18 18 0 0 18 18 19 19 20 20 19 19 20 20 19 19 20 20 19 19 20 20 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 	2	2	1 3 0 0 0 	2 88 2 88 88 
21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 	2	1	2 0 0 0 0 	88 2 88 88 88 
22 0 0 18 18 0 0 18 18 0 0 18 18 0 0 18 18 0 0 18 18 0 0 18 18 0 0 18 18 0 0 18 18 21 21 22 22 21 21 22 22 21 21 22 22 21 21 22 22 21 21 22 22 21 21 22 22 21 21 22 22 21 21 22 22 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 	2	2	1 2 0 0 0 	2 2 88 88 88 
23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 	2	2	2 3 0 0 0 	88 2 2 88 88 
24 0 0 0 0 0 0 0 0 24 24 24 24 24 24 24 24 0 0 0 0 0 0 0 0 24 24 24 24 24 24 24 24 0 0 0 0 0 0 0 0 24 24 24 24 24 24 24 24 0 0 0 0 0 0 0 0 24 24 24 24 24 24 24 24 0 0 0 0 0 0 0 0 24 24 24 24 24 24 24 24 0 0 0 0 0 0 0 0 24 24 24 24 24 24 24 24 0 0 0 0 0 0 0 0 24 24 24 24 24 24 24 24 0 0 0 0 0 0 0 0 24 24 24 24 24 24 24 24 	2	1	4 0 0 0 0 	88 88 88 2 88 
25 0 0 18 18 0 0 18 18 24 24 25 25 24 24 25 25 0 0 18 18 0 0 18 18 24 24 25 25 24 24 25 25 0 0 18 18 0 0 18 18 24 24 25 25 24 24 25 25 0 0 18 18 0 0 18 18 24 24 25 25 24 24 25 25 18 18 18 18 18 18 18 18 25 25 25 25 25 25 25 25 18 18 18 18 18 18 18 18 25 25 25 25 25 25 25 25 18 18 18 18 18 18 18 18 25 25 25 25 25 25 25 25 18 18 18 18 18 18 18 18 25 25 25 25 25 25 25 25 	2	2	1 4 0 0 0 	2 88 88 2 88 
26 0 0 0 0 0 0 0 0 24 24 24 24 24 24 24 24 19 19 19 19 19 19 19 19 26 26 26 26 26 26 26 26 0 0 0 0 0 0 0 0 24 24 24 24 24 24 24 24 19 19 19 19 19 19 19 19 26 26 26 26 26 26 26 26 0 0 0 0 0 0 0 0 24 24 24 24 24 24 24 24 19 19 19 19 19 19 19 19 26 26 26 26 26 26 26 26 0 0 0 0 0 0 0 0 24 24 24 24 24 24 24 24 19 19 19 19 19 19 19 19 26 26 26 26 26 26 26 26 	2	2	3 4 0 0 0 	88 88 2 2 88 
27 0 0 18 18 0 0 18 18 24 24 25 25 24 24 25 25 19 19 20 20 19 19 20 20 26 26 27 27 26 26 27 27 0 0 18 18 0 0 18 18 24 24 25 25 24 24 25 25 19 19 20 20 19 19 20 20 26 26 27 27 26 26 27 27 18 18 18 18 18 18 18 18 25 25 25 25 25 25 25 25 20 20 20 20 20 20 20 20 27 27 27 27 27 27 27 27 18 18 18 18 18 18 18 18 25 25 25 25 25 25 25 25 20 20 20 20 20 20 20 20 27 27 27 27 27 27 27 27 	2	3	1 3 4 0 0 	2 88 2 2 88 
28 0 0 0 0 0 0 0 0 24 24 24 24 24 24 24 24 0 0 0 0 0 0 0 0 24 24 24 24 24 24 24 24 21 21 21 21 21 21 21 21 28 28 28 28 28 28 28 28 21 21 21 21 21 21 21 21 28 28 28 28 28 28 28 28 0 0 0 0 0 0 0 0 24 24 24 24 24 24 24 24 0 0 0 0 0 0 0 0 24 24 24 24 24 24 24 24 21 21 21 21 21 21 21 21 28 28 28 28 28 28 28 28 21 21 21 21 21 21 21 21 28 28 28 28 28 28 28 28 	2	2	2 4 0 0 0 	88 2 88 2 88 
29 0 0 18 18 0 0 18 18 24 24 25 25 24 24 25 25 0 0 18 18 0 0 18 18 24 24 25 25 24 24 25 25 21 21 22 22 21 21 22 22 28 28 29 29 28 28 29 29 21 21 22 22 21 21 22 22 28 28 29 29 28 28 29 29 18 18 18 18 18 18 18 18 25 25 25 25 25 25 25 25 18 18 18 18 18 18 18 18 25 25 25 25 25 25 25 25 22 22 22 22 22 22 22 22 29 29 29 29 29 29 29 29 22 22 22 22 22 22 22 22 29 29 29 29 29 29 29 29 	2	3	1 2 4 0 0 	2 2 88 2 88 
30 0 0 0 0 0 0 0 0 24 24 24 24 24 24 24 24 19 19 19 19 19 19 19 19 26 26 26 26 26 26 26 26 21 21 21 21 21 21 21 21 28 28 28 28 28 28 28 28 23 23 23 23 23 23 23 23 30 30 30 30 30 30 30 30 0 0 0 0 0 0 0 0 24 24 24 24 24 24 24 24 19 19 19 19 19 19 19 19 26 26 26 26 26 26 26 26 21 21 21 21 21 21 21 21 28 28 28 28 28 28 28 28 23 23 23 23 23 23 23 23 30 30 30 30 30 30 30 30 	2	3	2 3 4 0 0 	88 2 2 2 88 
31 23 23 23 23 23 23 23 23 30 30 30 30 30 30 30 30 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 23 23 23 23 23 23 23 23 30 30 30 30 30 30 30 30 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 23 23 23 23 23 23 23 23 30 30 30 30 30 30 30 30 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 23 23 23 23 23 23 23 23 30 30 30 30 30 30 30 30 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 	1	3	2 3 4 0 0 	88 2 1 2 88 
32 0 32 0 32 32 32 32 32 0 32 0 32 32 32 32 32 0 32 0 32 32 32 32 32 0 32 0 32 32 32 32 32 0 32 0 32 32 32 32 32 0 32 0 32 32 32 32 32 0 32 0 32 32 32 32 32 0 32 0 32 32 32 32 32 0 32 0 32 32 32 32 32 0 32 0 32 32 32 32 32 0 32 0 32 32 32 32 32 0 32 0 32 32 32 32 32 0 32 0 32 32 32 32 32 0 32 0 32 32 32 32 32 0 32 0 32 32 32 32 32 0 32 0 32 32 32 32 32 	2	1	5 0 0 0 0 	88 88 88 88 2 
33 0 32 18 33 32 32 33 33 0 32 18 33 32 32 33 33 0 32 18 33 32 32 33 33 0 32 18 33 32 32 33 33 0 32 18 33 32 32 33 33 0 32 18 33 32 32 33 33 0 32 18 33 32 32 33 33 0 32 18 33 32 32 33 33 18 33 18 33 33 33 33 33 18 33 18 33 33 33 33 33 18 33 18 33 33 33 33 33 18 33 18 33 33 33 33 33 18 33 18 33 33 33 33 33 18 33 18 33 33 33 33 33 18 33 18 33 33 33 33 33 18 33 18 33 33 33 33 33 	2	2	1 5 0 0 0 	2 88 88 88 2 
34 0 32 0 32 32 32 32 32 0 32 0 32 32 32 32 32 19 34 19 34 34 34 34 34 19 34 19 34 34 34 34 34 0 32 0 32 32 32 32 32 0 32 0 32 32 32 32 32 19 34 19 34 34 34 34 34 19 34 19 34 34 34 34 34 0 32 0 32 32 32 32 32 0 32 0 32 32 32 32 32 19 34 19 34 34 34 34 34 19 34 19 34 34 34 34 34 0 32 0 32 32 32 32 32 0 32 0 32 32 32 32 32 19 34 19 34 34 34 34 34 19 34 19 34 34 34 34 34 	2	2	3 5 0 0 0 	88 88 2 88 2 
35 0 32 18 33 32 32 33 33 0 32 18 33 32 32 33 33 19 34 20 35 34 34 35 35 19 34 20 35 34 34 35 35 0 32 18 33 32 32 33 33 0 32 18 33 32 32 33 33 19 34 20 35 34 34 35 35 19 34 20 35 34 34 35 35 18 33 18 33 33 33 33 33 18 33 18 33 33 33 33 33 20 35 20 35 35 35 35 35 20 35 20 35 35 35 35 35 18 33 18 33 33 33 33 33 18 33 18 33 33 33 33 33 20 35 20 35 35 35 35 35 20 35 20 35 35 35 35 35 	2	3	1 3 5 0 0 	2 88 2 88 2 
