8 3 8 13
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 	88	0	0 0 0 	88 88 88 
1 2 3 1 1 3 3 1 1 4 4 1 1 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 	6	3	1 2 3 	6 7 8 
2 5 5 2 2 5 5 2 2 6 6 2 2 6 6 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 	7	2	1 2 0 	7 8 88 
3 5 7 2 3 7 7 3 3 6 8 2 3 8 8 3 3 2 3 2 3 3 3 3 3 2 3 2 3 3 3 3 3 	7	3	1 2 3 	7 8 8 
4 6 8 2 3 8 8 3 3 9 9 4 4 9 9 4 4 2 3 2 3 3 3 3 3 4 4 4 4 4 4 4 4 	7	3	1 2 3 	7 7 8 
5 0 0 5 5 0 0 5 5 0 0 5 5 0 0 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 	8	1	1 0 0 	8 88 88 
6 0 0 5 5 0 0 5 5 10 10 6 6 10 10 6 6 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 	8	2	1 2 0 	8 8 88 
7 0 11 5 7 11 11 7 7 0 11 5 7 11 11 7 7 5 7 5 7 7 7 7 7 5 7 5 7 7 7 7 7 	8	2	1 3 0 	8 88 8 
8 0 11 5 7 11 11 7 7 10 12 6 8 12 12 8 8 5 7 5 7 7 7 7 7 6 8 6 8 8 8 8 8 	8	3	1 2 3 	8 8 8 
9 6 8 6 8 8 8 8 8 9 9 9 9 9 9 9 9 6 8 6 8 8 8 8 8 9 9 9 9 9 9 9 9 	7	3	1 2 3 	8 7 8 
10 0 0 0 0 0 0 0 0 10 10 10 10 10 10 10 10 0 0 0 0 0 0 0 0 10 10 10 10 10 10 10 10 	8	1	2 0 0 	88 8 88 
11 0 11 0 11 11 11 11 11 0 11 0 11 11 11 11 11 0 11 0 11 11 11 11 11 0 11 0 11 11 11 11 11 	8	1	3 0 0 	88 88 8 
12 0 11 0 11 11 11 11 11 10 12 10 12 12 12 12 12 0 11 0 11 11 11 11 11 10 12 10 12 12 12 12 12 	8	2	2 3 0 	88 8 8 
